"sub","countergroup","time","intensity","load","dvtype","perf"
100,"A","pre","passive","inc","acc",0.975
101,"B","pre","passive","inc","acc",0.925
105,"B","pre","passive","inc","acc",0.925
106,"C","pre","passive","inc","acc",0.925
108,"A","pre","passive","inc","acc",0.95
111,"C","pre","passive","inc","acc",0.9
114,"D","pre","passive","inc","acc",1
115,"B","pre","passive","inc","acc",0.95
116,"C","pre","passive","inc","acc",0.975
117,"D","pre","passive","inc","acc",1
102,"C","pre","passive","inc","acc",0.875
103,"D","pre","passive","inc","acc",1
104,"A","pre","passive","inc","acc",0.95
107,"D","pre","passive","inc","acc",0.75
109,"B","pre","passive","inc","acc",0.975
110,"C","pre","passive","inc","acc",0.9
112,"D","pre","passive","inc","acc",0.875
123,"B","pre","passive","inc","acc",1
124,"B","pre","passive","inc","acc",0.85
125,"C","pre","passive","inc","acc",0.925
126,"A","pre","passive","inc","acc",1
127,"D","pre","passive","inc","acc",0.975
128,"A","pre","passive","inc","acc",1
129,"B","pre","passive","inc","acc",0.875
130,"C","pre","passive","inc","acc",0.9
100,"A","post","passive","inc","acc",0.925
101,"B","post","passive","inc","acc",0.95
105,"B","post","passive","inc","acc",0.925
106,"C","post","passive","inc","acc",0.825
108,"A","post","passive","inc","acc",1
111,"C","post","passive","inc","acc",0.9
114,"D","post","passive","inc","acc",0.975
115,"B","post","passive","inc","acc",0.975
116,"C","post","passive","inc","acc",0.925
117,"D","post","passive","inc","acc",0.925
102,"C","post","passive","inc","acc",0.8
103,"D","post","passive","inc","acc",1
104,"A","post","passive","inc","acc",0.825
107,"D","post","passive","inc","acc",0.775
109,"B","post","passive","inc","acc",0.975
110,"C","post","passive","inc","acc",0.9
112,"D","post","passive","inc","acc",0.85
123,"B","post","passive","inc","acc",0.95
124,"B","post","passive","inc","acc",0.825
125,"C","post","passive","inc","acc",0.95
126,"A","post","passive","inc","acc",0.975
127,"D","post","passive","inc","acc",0.975
128,"A","post","passive","inc","acc",0.95
129,"B","post","passive","inc","acc",0.975
130,"C","post","passive","inc","acc",0.85
100,"A","pre","passive","neu","acc",1
101,"B","pre","passive","neu","acc",1
105,"B","pre","passive","neu","acc",1
106,"C","pre","passive","neu","acc",1
108,"A","pre","passive","neu","acc",0.975
111,"C","pre","passive","neu","acc",0.975
114,"D","pre","passive","neu","acc",1
115,"B","pre","passive","neu","acc",1
116,"C","pre","passive","neu","acc",1
117,"D","pre","passive","neu","acc",1
102,"C","pre","passive","neu","acc",1
103,"D","pre","passive","neu","acc",0.975
104,"A","pre","passive","neu","acc",1
107,"D","pre","passive","neu","acc",1
109,"B","pre","passive","neu","acc",1
110,"C","pre","passive","neu","acc",1
112,"D","pre","passive","neu","acc",0.975
123,"B","pre","passive","neu","acc",1
124,"B","pre","passive","neu","acc",1
125,"C","pre","passive","neu","acc",1
126,"A","pre","passive","neu","acc",0.975
127,"D","pre","passive","neu","acc",1
128,"A","pre","passive","neu","acc",1
129,"B","pre","passive","neu","acc",0.975
130,"C","pre","passive","neu","acc",0.975
100,"A","post","passive","neu","acc",1
101,"B","post","passive","neu","acc",1
105,"B","post","passive","neu","acc",0.975
106,"C","post","passive","neu","acc",1
108,"A","post","passive","neu","acc",0.975
111,"C","post","passive","neu","acc",0.975
114,"D","post","passive","neu","acc",1
115,"B","post","passive","neu","acc",1
116,"C","post","passive","neu","acc",1
117,"D","post","passive","neu","acc",1
102,"C","post","passive","neu","acc",1
103,"D","post","passive","neu","acc",1
104,"A","post","passive","neu","acc",1
107,"D","post","passive","neu","acc",1
109,"B","post","passive","neu","acc",1
110,"C","post","passive","neu","acc",0.975
112,"D","post","passive","neu","acc",0.975
123,"B","post","passive","neu","acc",1
124,"B","post","passive","neu","acc",0.975
125,"C","post","passive","neu","acc",1
126,"A","post","passive","neu","acc",1
127,"D","post","passive","neu","acc",1
128,"A","post","passive","neu","acc",1
129,"B","post","passive","neu","acc",0.95
130,"C","post","passive","neu","acc",0.975
100,"A","pre","passive","con","acc",1
101,"B","pre","passive","con","acc",1
105,"B","pre","passive","con","acc",0.975
106,"C","pre","passive","con","acc",0.975
108,"A","pre","passive","con","acc",0.975
111,"C","pre","passive","con","acc",1
114,"D","pre","passive","con","acc",1
115,"B","pre","passive","con","acc",1
116,"C","pre","passive","con","acc",1
117,"D","pre","passive","con","acc",1
102,"C","pre","passive","con","acc",1
103,"D","pre","passive","con","acc",1
104,"A","pre","passive","con","acc",1
107,"D","pre","passive","con","acc",1
109,"B","pre","passive","con","acc",1
110,"C","pre","passive","con","acc",1
112,"D","pre","passive","con","acc",1
123,"B","pre","passive","con","acc",0.975
124,"B","pre","passive","con","acc",1
125,"C","pre","passive","con","acc",1
126,"A","pre","passive","con","acc",1
127,"D","pre","passive","con","acc",1
128,"A","pre","passive","con","acc",1
129,"B","pre","passive","con","acc",0.975
130,"C","pre","passive","con","acc",1
100,"A","post","passive","con","acc",1
101,"B","post","passive","con","acc",1
105,"B","post","passive","con","acc",1
106,"C","post","passive","con","acc",1
108,"A","post","passive","con","acc",1
111,"C","post","passive","con","acc",1
114,"D","post","passive","con","acc",1
115,"B","post","passive","con","acc",0.975
116,"C","post","passive","con","acc",1
117,"D","post","passive","con","acc",1
102,"C","post","passive","con","acc",1
103,"D","post","passive","con","acc",0.975
104,"A","post","passive","con","acc",1
107,"D","post","passive","con","acc",0.975
109,"B","post","passive","con","acc",0.95
110,"C","post","passive","con","acc",0.95
112,"D","post","passive","con","acc",0.925
123,"B","post","passive","con","acc",1
124,"B","post","passive","con","acc",0.975
125,"C","post","passive","con","acc",1
126,"A","post","passive","con","acc",1
127,"D","post","passive","con","acc",1
128,"A","post","passive","con","acc",1
129,"B","post","passive","con","acc",0.975
130,"C","post","passive","con","acc",0.95
100,"A","pre","active","inc","acc",0.925
101,"B","pre","active","inc","acc",0.95
105,"B","pre","active","inc","acc",0.9
106,"C","pre","active","inc","acc",0.925
108,"A","pre","active","inc","acc",0.975
111,"C","pre","active","inc","acc",0.85
114,"D","pre","active","inc","acc",1
115,"B","pre","active","inc","acc",0.9
116,"C","pre","active","inc","acc",0.925
117,"D","pre","active","inc","acc",0.975
102,"C","pre","active","inc","acc",0.65
103,"D","pre","active","inc","acc",0.975
104,"A","pre","active","inc","acc",0.925
107,"D","pre","active","inc","acc",0.85
109,"B","pre","active","inc","acc",0.975
110,"C","pre","active","inc","acc",0.85
112,"D","pre","active","inc","acc",0.9
123,"B","pre","active","inc","acc",0.975
124,"B","pre","active","inc","acc",0.925
125,"C","pre","active","inc","acc",0.925
126,"A","pre","active","inc","acc",1
127,"D","pre","active","inc","acc",1
128,"A","pre","active","inc","acc",0.95
129,"B","pre","active","inc","acc",0.9
130,"C","pre","active","inc","acc",0.825
100,"A","post","active","inc","acc",0.95
101,"B","post","active","inc","acc",0.95
105,"B","post","active","inc","acc",0.85
106,"C","post","active","inc","acc",0.975
108,"A","post","active","inc","acc",1
111,"C","post","active","inc","acc",0.95
114,"D","post","active","inc","acc",1
115,"B","post","active","inc","acc",0.9
116,"C","post","active","inc","acc",0.975
117,"D","post","active","inc","acc",0.95
102,"C","post","active","inc","acc",0.875
103,"D","post","active","inc","acc",0.95
104,"A","post","active","inc","acc",0.875
107,"D","post","active","inc","acc",0.825
109,"B","post","active","inc","acc",0.95
110,"C","post","active","inc","acc",0.825
112,"D","post","active","inc","acc",0.9
123,"B","post","active","inc","acc",0.95
124,"B","post","active","inc","acc",0.925
125,"C","post","active","inc","acc",0.975
126,"A","post","active","inc","acc",0.975
127,"D","post","active","inc","acc",0.95
128,"A","post","active","inc","acc",1
129,"B","post","active","inc","acc",0.95
130,"C","post","active","inc","acc",0.825
100,"A","pre","active","neu","acc",1
101,"B","pre","active","neu","acc",1
105,"B","pre","active","neu","acc",1
106,"C","pre","active","neu","acc",0.975
108,"A","pre","active","neu","acc",1
111,"C","pre","active","neu","acc",1
114,"D","pre","active","neu","acc",1
115,"B","pre","active","neu","acc",1
116,"C","pre","active","neu","acc",0.975
117,"D","pre","active","neu","acc",0.95
102,"C","pre","active","neu","acc",0.95
103,"D","pre","active","neu","acc",1
104,"A","pre","active","neu","acc",1
107,"D","pre","active","neu","acc",1
109,"B","pre","active","neu","acc",1
110,"C","pre","active","neu","acc",0.975
112,"D","pre","active","neu","acc",0.975
123,"B","pre","active","neu","acc",1
124,"B","pre","active","neu","acc",1
125,"C","pre","active","neu","acc",1
126,"A","pre","active","neu","acc",1
127,"D","pre","active","neu","acc",0.975
128,"A","pre","active","neu","acc",0.975
129,"B","pre","active","neu","acc",1
130,"C","pre","active","neu","acc",0.975
100,"A","post","active","neu","acc",1
101,"B","post","active","neu","acc",1
105,"B","post","active","neu","acc",1
106,"C","post","active","neu","acc",1
108,"A","post","active","neu","acc",0.975
111,"C","post","active","neu","acc",1
114,"D","post","active","neu","acc",1
115,"B","post","active","neu","acc",1
116,"C","post","active","neu","acc",1
117,"D","post","active","neu","acc",1
102,"C","post","active","neu","acc",0.975
103,"D","post","active","neu","acc",1
104,"A","post","active","neu","acc",1
107,"D","post","active","neu","acc",0.975
109,"B","post","active","neu","acc",0.975
110,"C","post","active","neu","acc",1
112,"D","post","active","neu","acc",0.975
123,"B","post","active","neu","acc",1
124,"B","post","active","neu","acc",1
125,"C","post","active","neu","acc",1
126,"A","post","active","neu","acc",1
127,"D","post","active","neu","acc",1
128,"A","post","active","neu","acc",1
129,"B","post","active","neu","acc",1
130,"C","post","active","neu","acc",0.975
100,"A","pre","active","con","acc",1
101,"B","pre","active","con","acc",1
105,"B","pre","active","con","acc",1
106,"C","pre","active","con","acc",1
108,"A","pre","active","con","acc",1
111,"C","pre","active","con","acc",0.975
114,"D","pre","active","con","acc",1
115,"B","pre","active","con","acc",1
116,"C","pre","active","con","acc",0.975
117,"D","pre","active","con","acc",1
102,"C","pre","active","con","acc",0.95
103,"D","pre","active","con","acc",1
104,"A","pre","active","con","acc",1
107,"D","pre","active","con","acc",1
109,"B","pre","active","con","acc",0.975
110,"C","pre","active","con","acc",0.975
112,"D","pre","active","con","acc",0.975
123,"B","pre","active","con","acc",1
124,"B","pre","active","con","acc",1
125,"C","pre","active","con","acc",1
126,"A","pre","active","con","acc",0.975
127,"D","pre","active","con","acc",1
128,"A","pre","active","con","acc",1
129,"B","pre","active","con","acc",1
130,"C","pre","active","con","acc",1
100,"A","post","active","con","acc",1
101,"B","post","active","con","acc",0.975
105,"B","post","active","con","acc",0.975
106,"C","post","active","con","acc",1
108,"A","post","active","con","acc",1
111,"C","post","active","con","acc",1
114,"D","post","active","con","acc",1
115,"B","post","active","con","acc",1
116,"C","post","active","con","acc",1
117,"D","post","active","con","acc",1
102,"C","post","active","con","acc",0.975
103,"D","post","active","con","acc",1
104,"A","post","active","con","acc",1
107,"D","post","active","con","acc",0.975
109,"B","post","active","con","acc",1
110,"C","post","active","con","acc",0.975
112,"D","post","active","con","acc",1
123,"B","post","active","con","acc",0.975
124,"B","post","active","con","acc",1
125,"C","post","active","con","acc",1
126,"A","post","active","con","acc",0.975
127,"D","post","active","con","acc",1
128,"A","post","active","con","acc",0.975
129,"B","post","active","con","acc",1
130,"C","post","active","con","acc",0.975
100,"A","pre","active","inc","rt",535.05
101,"B","pre","active","inc","rt",525.65
105,"B","pre","active","inc","rt",447.25
106,"C","pre","active","inc","rt",499.2564103
108,"A","pre","active","inc","rt",595.325
111,"C","pre","active","inc","rt",474.775
114,"D","pre","active","inc","rt",543.25
115,"B","pre","active","inc","rt",475.7
116,"C","pre","active","inc","rt",473.35
117,"D","pre","active","inc","rt",492.05
102,"C","pre","active","inc","rt",515.05
103,"D","pre","active","inc","rt",533.45
104,"A","pre","active","inc","rt",474.275
107,"D","pre","active","inc","rt",435.65
109,"B","pre","active","inc","rt",526.575
110,"C","pre","active","inc","rt",490.3
112,"D","pre","active","inc","rt",502.8205128
123,"B","pre","active","inc","rt",472.075
124,"B","pre","active","inc","rt",501.825
125,"C","pre","active","inc","rt",509.15
126,"A","pre","active","inc","rt",606.875
127,"D","pre","active","inc","rt",788.925
128,"A","pre","active","inc","rt",555.275
129,"B","pre","active","inc","rt",463.325
130,"C","pre","active","inc","rt",467.2
100,"A","post","active","inc","rt",514.175
101,"B","post","active","inc","rt",506.95
105,"B","post","active","inc","rt",434.45
106,"C","post","active","inc","rt",511.25
108,"A","post","active","inc","rt",600.575
111,"C","post","active","inc","rt",521.7
114,"D","post","active","inc","rt",536.975
115,"B","post","active","inc","rt",481.475
116,"C","post","active","inc","rt",462.325
117,"D","post","active","inc","rt",448.75
102,"C","post","active","inc","rt",577.4
103,"D","post","active","inc","rt",540
104,"A","post","active","inc","rt",466.625
107,"D","post","active","inc","rt",416.85
109,"B","post","active","inc","rt",548
110,"C","post","active","inc","rt",444.725
112,"D","post","active","inc","rt",499.125
123,"B","post","active","inc","rt",468.875
124,"B","post","active","inc","rt",505.3
125,"C","post","active","inc","rt",524.6
126,"A","post","active","inc","rt",650.25
127,"D","post","active","inc","rt",621.4
128,"A","post","active","inc","rt",555.9
129,"B","post","active","inc","rt",470.35
130,"C","post","active","inc","rt",452.7
100,"A","pre","active","neu","rt",426.425
101,"B","pre","active","neu","rt",436.575
105,"B","pre","active","neu","rt",418.25
106,"C","pre","active","neu","rt",441.775
108,"A","pre","active","neu","rt",539.85
111,"C","pre","active","neu","rt",416.975
114,"D","pre","active","neu","rt",485.075
115,"B","pre","active","neu","rt",412.85
116,"C","pre","active","neu","rt",417.175
117,"D","pre","active","neu","rt",436.8717949
102,"C","pre","active","neu","rt",446.55
103,"D","pre","active","neu","rt",451.225
104,"A","pre","active","neu","rt",416.4
107,"D","pre","active","neu","rt",374.1
109,"B","pre","active","neu","rt",470.65
110,"C","pre","active","neu","rt",404.2
112,"D","pre","active","neu","rt",424.575
123,"B","pre","active","neu","rt",425.45
124,"B","pre","active","neu","rt",420.45
125,"C","pre","active","neu","rt",428.025
126,"A","pre","active","neu","rt",571.4
127,"D","pre","active","neu","rt",806.125
128,"A","pre","active","neu","rt",513.475
129,"B","pre","active","neu","rt",424.15
130,"C","pre","active","neu","rt",422.475
100,"A","post","active","neu","rt",401.1
101,"B","post","active","neu","rt",429.675
105,"B","post","active","neu","rt",392.725
106,"C","post","active","neu","rt",448.825
108,"A","post","active","neu","rt",583.4
111,"C","post","active","neu","rt",424.875
114,"D","post","active","neu","rt",493.625
115,"B","post","active","neu","rt",407.825
116,"C","post","active","neu","rt",398.15
117,"D","post","active","neu","rt",400.675
102,"C","post","active","neu","rt",472.775
103,"D","post","active","neu","rt",481.775
104,"A","post","active","neu","rt",400.85
107,"D","post","active","neu","rt",369.7
109,"B","post","active","neu","rt",513.2820513
110,"C","post","active","neu","rt",410.525
112,"D","post","active","neu","rt",446.65
123,"B","post","active","neu","rt",416.5
124,"B","post","active","neu","rt",433.525
125,"C","post","active","neu","rt",462.825
126,"A","post","active","neu","rt",519.475
127,"D","post","active","neu","rt",578.7
128,"A","post","active","neu","rt",520.95
129,"B","post","active","neu","rt",446.775
130,"C","post","active","neu","rt",405.3
100,"A","pre","active","con","rt",447.9
101,"B","pre","active","con","rt",458.725
105,"B","pre","active","con","rt",409.475
106,"C","pre","active","con","rt",466.3
108,"A","pre","active","con","rt",564.975
111,"C","pre","active","con","rt",411.275
114,"D","pre","active","con","rt",488.45
115,"B","pre","active","con","rt",409.125
116,"C","pre","active","con","rt",396.6
117,"D","pre","active","con","rt",430.625
102,"C","pre","active","con","rt",446.15
103,"D","pre","active","con","rt",463.875
104,"A","pre","active","con","rt",416.45
107,"D","pre","active","con","rt",377.75
109,"B","pre","active","con","rt",531.3076923
110,"C","pre","active","con","rt",409.1794872
112,"D","pre","active","con","rt",448.125
123,"B","pre","active","con","rt",427.825
124,"B","pre","active","con","rt",419.925
125,"C","pre","active","con","rt",437.125
126,"A","pre","active","con","rt",599.825
127,"D","pre","active","con","rt",653.1
128,"A","pre","active","con","rt",497.45
129,"B","pre","active","con","rt",413.95
130,"C","pre","active","con","rt",393.55
100,"A","post","active","con","rt",420.925
101,"B","post","active","con","rt",431.225
105,"B","post","active","con","rt",394.6
106,"C","post","active","con","rt",457.325
108,"A","post","active","con","rt",589.05
111,"C","post","active","con","rt",421.4
114,"D","post","active","con","rt",494.55
115,"B","post","active","con","rt",417.25
116,"C","post","active","con","rt",407.45
117,"D","post","active","con","rt",403.575
102,"C","post","active","con","rt",470.175
103,"D","post","active","con","rt",485.45
104,"A","post","active","con","rt",405.55
107,"D","post","active","con","rt",357.175
109,"B","post","active","con","rt",506.725
110,"C","post","active","con","rt",401.025
112,"D","post","active","con","rt",451.65
123,"B","post","active","con","rt",416.4
124,"B","post","active","con","rt",402.975
125,"C","post","active","con","rt",440.6
126,"A","post","active","con","rt",584.175
127,"D","post","active","con","rt",621.65
128,"A","post","active","con","rt",540.925
129,"B","post","active","con","rt",449.025
130,"C","post","active","con","rt",397.2
100,"A","pre","passive","inc","rt",520.875
101,"B","pre","passive","inc","rt",518.425
105,"B","pre","passive","inc","rt",454.3
106,"C","pre","passive","inc","rt",478.725
108,"A","pre","passive","inc","rt",563.05
111,"C","pre","passive","inc","rt",486.1282051
114,"D","pre","passive","inc","rt",556
115,"B","pre","passive","inc","rt",502.65
116,"C","pre","passive","inc","rt",463.375
117,"D","pre","passive","inc","rt",477.925
102,"C","pre","passive","inc","rt",569.775
103,"D","pre","passive","inc","rt",571.6
104,"A","pre","passive","inc","rt",461.125
107,"D","pre","passive","inc","rt",417.025
109,"B","pre","passive","inc","rt",620.6410256
110,"C","pre","passive","inc","rt",475.175
112,"D","pre","passive","inc","rt",615.6052632
123,"B","pre","passive","inc","rt",463.425
124,"B","pre","passive","inc","rt",489.875
125,"C","pre","passive","inc","rt",506.125
126,"A","pre","passive","inc","rt",546.575
127,"D","pre","passive","inc","rt",504.275
128,"A","pre","passive","inc","rt",529.125
129,"B","pre","passive","inc","rt",442.575
130,"C","pre","passive","inc","rt",473.75
100,"A","post","passive","inc","rt",519.725
101,"B","post","passive","inc","rt",523.275
105,"B","post","passive","inc","rt",450.4
106,"C","post","passive","inc","rt",452.875
108,"A","post","passive","inc","rt",588.425
111,"C","post","passive","inc","rt",484.65
114,"D","post","passive","inc","rt",545.425
115,"B","post","passive","inc","rt",529.175
116,"C","post","passive","inc","rt",455.775
117,"D","post","passive","inc","rt",464.2
102,"C","post","passive","inc","rt",604.3
103,"D","post","passive","inc","rt",524.975
104,"A","post","passive","inc","rt",459.475
107,"D","post","passive","inc","rt",447.175
109,"B","post","passive","inc","rt",551.125
110,"C","post","passive","inc","rt",442.425
112,"D","post","passive","inc","rt",560.2631579
123,"B","post","passive","inc","rt",492.45
124,"B","post","passive","inc","rt",506.8974359
125,"C","post","passive","inc","rt",484.175
126,"A","post","passive","inc","rt",557.125
127,"D","post","passive","inc","rt",462.75
128,"A","post","passive","inc","rt",535.05
129,"B","post","passive","inc","rt",482.075
130,"C","post","passive","inc","rt",461.525
100,"A","pre","passive","neu","rt",448.85
101,"B","pre","passive","neu","rt",440.025
105,"B","pre","passive","neu","rt",398.2
106,"C","pre","passive","neu","rt",433.175
108,"A","pre","passive","neu","rt",550.05
111,"C","pre","passive","neu","rt",423.8
114,"D","pre","passive","neu","rt",489.55
115,"B","pre","passive","neu","rt",434.85
116,"C","pre","passive","neu","rt",397.575
117,"D","pre","passive","neu","rt",442.275
102,"C","pre","passive","neu","rt",474.1
103,"D","pre","passive","neu","rt",515.775
104,"A","pre","passive","neu","rt",406.325
107,"D","pre","passive","neu","rt",372.525
109,"B","pre","passive","neu","rt",530.5
110,"C","pre","passive","neu","rt",416.15
112,"D","pre","passive","neu","rt",477.3333333
123,"B","pre","passive","neu","rt",449.2
124,"B","pre","passive","neu","rt",416.3
125,"C","pre","passive","neu","rt",431.275
126,"A","pre","passive","neu","rt",518.85
127,"D","pre","passive","neu","rt",477.35
128,"A","pre","passive","neu","rt",503.975
129,"B","pre","passive","neu","rt",384.35
130,"C","pre","passive","neu","rt",416.125
100,"A","post","passive","neu","rt",423.4
101,"B","post","passive","neu","rt",434.325
105,"B","post","passive","neu","rt",404.825
106,"C","post","passive","neu","rt",412.325
108,"A","post","passive","neu","rt",502.375
111,"C","post","passive","neu","rt",438.95
114,"D","post","passive","neu","rt",497.575
115,"B","post","passive","neu","rt",471.225
116,"C","post","passive","neu","rt",396.825
117,"D","post","passive","neu","rt",399.85
102,"C","post","passive","neu","rt",530.75
103,"D","post","passive","neu","rt",454.85
104,"A","post","passive","neu","rt",417.25
107,"D","post","passive","neu","rt",396.8
109,"B","post","passive","neu","rt",481.25
110,"C","post","passive","neu","rt",362.05
112,"D","post","passive","neu","rt",503.6
123,"B","post","passive","neu","rt",470.65
124,"B","post","passive","neu","rt",425.975
125,"C","post","passive","neu","rt",437.75
126,"A","post","passive","neu","rt",525.775
127,"D","post","passive","neu","rt",433.05
128,"A","post","passive","neu","rt",476
129,"B","post","passive","neu","rt",443.725
130,"C","post","passive","neu","rt",420.2820513
100,"A","pre","passive","con","rt",431.65
101,"B","pre","passive","con","rt",426.1
105,"B","pre","passive","con","rt",414.3
106,"C","pre","passive","con","rt",440.625
108,"A","pre","passive","con","rt",564.2
111,"C","pre","passive","con","rt",414.4
114,"D","pre","passive","con","rt",505.7
115,"B","pre","passive","con","rt",430.975
116,"C","pre","passive","con","rt",400.275
117,"D","pre","passive","con","rt",444.925
102,"C","pre","passive","con","rt",485.425
103,"D","pre","passive","con","rt",492.775
104,"A","pre","passive","con","rt",402.175
107,"D","pre","passive","con","rt",366.175
109,"B","pre","passive","con","rt",539.95
110,"C","pre","passive","con","rt",419.35
112,"D","pre","passive","con","rt",489.725
123,"B","pre","passive","con","rt",432.975
124,"B","pre","passive","con","rt",411.425
125,"C","pre","passive","con","rt",426.75
126,"A","pre","passive","con","rt",523.875
127,"D","pre","passive","con","rt",459.325
128,"A","pre","passive","con","rt",477.175
129,"B","pre","passive","con","rt",379.825
130,"C","pre","passive","con","rt",425.275
100,"A","post","passive","con","rt",426.925
101,"B","post","passive","con","rt",450.725
105,"B","post","passive","con","rt",402.425
106,"C","post","passive","con","rt",413.175
108,"A","post","passive","con","rt",528.725
111,"C","post","passive","con","rt",418.075
114,"D","post","passive","con","rt",492.625
115,"B","post","passive","con","rt",461.8205128
116,"C","post","passive","con","rt",396.3
117,"D","post","passive","con","rt",404.6
102,"C","post","passive","con","rt",521.125
103,"D","post","passive","con","rt",451.975
104,"A","post","passive","con","rt",428.475
107,"D","post","passive","con","rt",381.225
109,"B","post","passive","con","rt",483.2051282
110,"C","post","passive","con","rt",362.7
112,"D","post","passive","con","rt",468.7105263
123,"B","post","passive","con","rt",455.45
124,"B","post","passive","con","rt",433.25
125,"C","post","passive","con","rt",423.6
126,"A","post","passive","con","rt",500.825
127,"D","post","passive","con","rt",423.35
128,"A","post","passive","con","rt",488.025
129,"B","post","passive","con","rt",452.475
130,"C","post","passive","con","rt",413.025
